Year,Quarter,Facility ID,Facility Name,City,State,ZIP Code,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,Meets criteria for promoting interoperability of EHRs,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,TE Group Measure Count,Count of Facility TE Measures,County,Common State County FIPS Code,Latitude,Longitude,County HPSA Status,Designation Type,HPSA Score,HPSA FTE,HPSA Designation Population,% of Population Below 100% Poverty,HPSA Formal Ratio,Rural Status,HPSA Provider Ratio Goal,HPSA Shortage
2016,Q4,10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,Alabama,36301,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same As The National Average,Above The National Average,Same As The National Average,Below The National Average,Same As The National Average,Same As The National Average,Same As The National Average,,,,,,,,,,,,,,,,,,,,,Houston County,01069,31.14,-85.4,Non-Shortage Area,,,,,,,,,
2016,Q4,10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,Alabama,35957,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Below The National Average,Same As The National Average,Above The National Average,Same As The National Average,Same As The National Average,Above The National Average,Below The National Average,,,,,,,,,,,,,,,,,,,,,Marshall County,01095,34.2,-86.15,Shortage Area,High Needs Geographic HPSA,10.0,31.48,95375.0,20.5,3030:1,Rural,3000:1,0.31
2016,Q4,10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,Alabama,35631,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Below The National Average,Same As The National Average,Same As The National Average,Below The National Average,Same As The National Average,Above The National Average,Same As The National Average,,,,,,,,,,,,,,,,,,,,,Lauderdale County,01077,34.82,-87.66,Non-Shortage Area,,,,,,,,,
2016,Q4,10007,MIZELL MEMORIAL HOSPITAL,OPP,Alabama,36467,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same As The National Average,Not Available,Below The National Average,Same As The National Average,Below The National Average,Above The National Average,Not Available,,,,,,,,,,,,,,,,,,,,,Covington County,01039,31.29,-86.25,Non-Shortage Area,,,,,,,,,
2016,Q4,10008,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,Alabama,36049,Acute Care Hospitals,Proprietary,Yes,Y,3,Same As The National Average,Not Available,Same As The National Average,Not Available,Same As The National Average,Above The National Average,Not Available,,,,,,,,,,,,,,,,,,,,,Crenshaw County,01041,31.7,-86.26,Shortage Area,Geographic HPSA,16.0,1.65,13623.0,15.1,8256:1,Rural,3500:1,2.24
2016,Q4,10011,ST VINCENT'S EAST,BIRMINGHAM,Alabama,35235,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same As The National Average,Below The National Average,Same As The National Average,Below The National Average,Below The National Average,Same As The National Average,Same As The National Average,,,,,,,,,,,,,,,,,,,,,Jefferson County,01073,33.62,-86.65,Non-Shortage Area,,,,,,,,,
2016,Q4,10012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,Alabama,35968,Acute Care Hospitals,Proprietary,Yes,Y,3,Below The National Average,Same As The National Average,Same As The National Average,Same As The National Average,Same As The National Average,Above The National Average,Same As The National Average,,,,,,,,,,,,,,,,,,,,,DeKalb County,01049,34.55,-85.74,Shortage Area,High Needs Geographic HPSA,14.0,16.15,70355.0,21.0,4356:1,Rural,3000:1,7.3
2016,Q4,10016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,Alabama,35007,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same As The National Average,Above The National Average,Above The National Average,Below The National Average,Same As The National Average,Below The National Average,Below The National Average,,,,,,,,,,,,,,,,,,,,,Shelby County,01117,33.22,-86.82,Non-Shortage Area,,,,,,,,,
2016,Q4,10019,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,Alabama,35660,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Below The National Average,Below The National Average,Below The National Average,Below The National Average,Same As The National Average,Above The National Average,Below The National Average,,,,,,,,,,,,,,,,,,,,,Colbert County,01033,34.75,-87.7,Non-Shortage Area,,,,,,,,,
2016,Q4,10021,DALE MEDICAL CENTER,OZARK,Alabama,36360,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same As The National Average,Same As The National Average,Same As The National Average,Above The National Average,Same As The National Average,Above The National Average,Same As The National Average,,,,,,,,,,,,,,,,,,,,,Dale County,01045,31.43,-85.64,Shortage Area,High Needs Geographic HPSA,15.0,8.56,48674.0,18.7,5686:1,Rural,3000:1,7.66
