HPSA Name,Designation Type,HPSA Score,HPSA Status,HPSA Designation Date,HPSA Designation Last Update Date,HPSA FTE,HPSA Designation Population,% of Population Below 100% Poverty,HPSA Formal Ratio,Rural Status,Common County Name,Common Region Name,Common State Abbreviation,Common State County FIPS Code,Common State Name,County Equivalent Name,HPSA Estimated Served Population,HPSA Estimated Underserved Population,HPSA Provider Ratio Goal,HPSA Shortage,Region Alias
Lee County,Geographic HPSA,14,Designated,2018-10-26,2021-07-30,1.525,16596.0,12.2,10883:1,Rural,"Lee County, TX",Region 6,TX,48287,Texas,Lee,5338.0,11258.0,3500:1,3.215,South Central
Menard County,Geographic HPSA,15,Designated,2021-07-02,2021-07-02,0.1,2074.0,13.3,20740:1,Rural,"Menard County, TX",Region 6,TX,48327,Texas,Menard,350.0,1724.0,3500:1,0.49,South Central
Motley County,Geographic HPSA,9,Designated,2020-02-28,2021-09-10,0.0,1252.0,8.0,,Rural,"Motley County, TX",Region 6,TX,48345,Texas,Motley,0.0,1252.0,3500:1,0.36,South Central
Jones County,Geographic HPSA,7,Proposed For Withdrawal,2017-10-28,2021-08-30,3.255,12979.0,18.4,3987:1,Rural,"Jones County, TX",Region 6,TX,48253,Texas,Jones,11392.0,1587.0,3500:1,0.455,South Central
Castro County,Geographic HPSA,12,Designated,2019-12-23,2021-09-10,1.825,7580.0,13.6,4153:1,Rural,"Castro County, TX",Region 6,TX,48069,Texas,Castro,6388.0,1192.0,3500:1,0.345,South Central
Delta County,High Needs Geographic HPSA,16,Designated,1984-11-30,2021-09-10,0.0,5183.0,20.0,,Rural,"Delta County, TX",Region 6,TX,48119,Texas,Delta,0.0,5183.0,3000:1,1.73,South Central
Stephens County,Geographic HPSA,16,Designated,2018-07-18,2021-09-10,1.78,8910.0,20.5,5006:1,Rural,"Stephens County, TX",Region 6,TX,48429,Texas,Stephens,6230.0,2680.0,3500:1,0.77,South Central
Ector County,Geographic HPSA,11,Designated,2019-07-01,2021-08-06,40.15,158804.0,11.9,3955:1,Partially Rural,"Ector County, TX",Region 6,TX,48135,Texas,Ector,140525.0,18279.0,3500:1,5.22,South Central
Knox County,Geographic HPSA,15,Designated,2020-02-28,2021-07-02,0.0,3571.0,14.9,,Rural,"Knox County, TX",Region 6,TX,48275,Texas,Knox,0.0,3571.0,3500:1,1.02,South Central
Lynn County,Geographic HPSA,17,Proposed For Withdrawal,2020-02-28,2021-07-02,1.0,5692.0,19.8,5692:1,Rural,"Lynn County, TX",Region 6,TX,48305,Texas,Lynn,3500.0,2192.0,3500:1,0.63,South Central
Roberts County,Geographic HPSA,7,Designated,1994-12-28,2021-09-10,0.0,791.0,11.7,,Rural,"Roberts County, TX",Region 6,TX,48393,Texas,Roberts,0.0,791.0,3500:1,0.23,South Central
Aransas County,Geographic HPSA,15,Designated,2013-09-27,2021-09-10,4.71,24070.0,21.3,5110:1,Rural,"Aransas County, TX",Region 6,TX,48007,Texas,Aransas,16485.0,7585.0,3500:1,2.17,South Central
Shelby County,High Needs Geographic HPSA,16,Designated,2007-12-20,2021-09-10,0.25,25111.0,22.6,100444:1,Rural,"Shelby County, TX",Region 6,TX,48419,Texas,Shelby,750.0,24361.0,3000:1,8.12,South Central
Glasscock County,Geographic HPSA,11,Designated,1980-10-21,2021-07-02,0.0,1510.0,11.7,,Rural,"Glasscock County, TX",Region 6,TX,48173,Texas,Glasscock,0.0,1510.0,3500:1,0.43,South Central
San Patricio County,Geographic HPSA,13,Proposed For Withdrawal,2014-04-09,2021-09-10,15.1,66214.0,16.4,4385:1,Partially Rural,"San Patricio County, TX",Region 6,TX,48409,Texas,San Patricio,52850.0,13364.0,3500:1,3.82,South Central
San Jacinto County,Geographic HPSA,15,Designated,2020-03-18,2021-09-10,0.8,27895.0,15.1,34869:1,Rural,"San Jacinto County, TX",Region 6,TX,48407,Texas,San Jacinto,2800.0,25095.0,3500:1,7.17,South Central
Paulding County,High Needs Geographic HPSA,7,Proposed For Withdrawal,2015-12-07,2021-09-10,3.9,18992.0,14.0,4870:1,Rural,"Paulding County, OH",Region 5,OH,39125,Ohio,Paulding,11700.0,7292.0,3000:1,2.43,Great Lakes
Carroll County,Geographic HPSA,7,Designated,2006-07-07,2021-09-08,5.775,26930.0,12.2,4663:1,Rural,"Carroll County, OH",Region 5,OH,39019,Ohio,Carroll,20212.0,6718.0,3500:1,1.915,Great Lakes
Champaign County,Geographic HPSA,12,Designated,2017-12-28,2021-09-08,8.5,37897.0,10.1,4458:1,Rural,"Champaign County, OH",Region 5,OH,39021,Ohio,Champaign,29750.0,8147.0,3500:1,2.33,Great Lakes
Holmes County,Geographic HPSA,7,Designated,2006-05-11,2021-09-02,9.025,43027.0,9.9,4768:1,Rural,"Holmes County, OH",Region 5,OH,39075,Ohio,Holmes,31588.0,11439.0,3500:1,3.265,Great Lakes
Shawano County,Geographic HPSA,8,Proposed For Withdrawal,2016-10-14,2021-09-10,8.92,40698.0,11.5,4563:1,Rural,"Shawano County, WI",Region 5,WI,55115,Wisconsin,Shawano,31220.0,9478.0,3500:1,4.65,Great Lakes
Oconto County,Geographic HPSA,10,Designated,2022-02-02,2022-02-02,8.15,37196.0,9.1,4564:1,Partially Rural,"Oconto County, WI",Region 5,WI,55083,Wisconsin,Oconto,28525.0,8671.0,3500:1,2.48,Great Lakes
Garfield County,Geographic HPSA,12,Designated,1993-03-31,2021-09-02,0.0,2206.0,10.2,,Rural,"Garfield County, WA",Region 10,WA,53023,Washington,Garfield,0.0,2206.0,3500:1,0.63,North Far West
King County,Geographic HPSA,5,Proposed For Withdrawal,2020-02-28,2021-08-05,0.0,274.0,3.2,,Rural,"King County, TX",Region 6,TX,48269,Texas,King,0.0,274.0,3500:1,0.08,South Central
Live Oak County,Geographic HPSA,15,Designated,1980-01-17,2021-09-10,1.8,10665.0,17.2,5925:1,Rural,"Live Oak County, TX",Region 6,TX,48297,Texas,Live Oak,6300.0,4365.0,3500:1,1.25,South Central
Real County,Geographic HPSA,17,Designated,2020-02-28,2021-09-10,0.0,3156.0,24.7,,Rural,"Real County, TX",Region 6,TX,48385,Texas,Real,0.0,3156.0,3500:1,0.9,South Central
Houston County,High Needs Geographic HPSA,19,Designated,2012-04-17,2021-07-02,1.75,19768.0,21.7,11296:1,Rural,"Houston County, TX",Region 6,TX,48225,Texas,Houston,5250.0,14518.0,3000:1,4.84,South Central
Mills County,Geographic HPSA,16,Designated,2018-04-13,2021-07-02,0.2,4706.0,15.6,23530:1,Rural,"Mills County, TX",Region 6,TX,48333,Texas,Mills,700.0,4006.0,3500:1,1.14,South Central
Brooks County,High Needs Geographic HPSA,17,Designated,1992-02-11,2021-07-02,1.4,6573.0,41.4,4695:1,Rural,"Brooks County, TX",Region 6,TX,48047,Texas,Brooks,4200.0,2373.0,3000:1,0.79,South Central
Meade County,Geographic HPSA,16,Designated,2017-12-29,2021-08-17,2.325,26898.0,6.8,11569:1,Partially Rural,"Meade County, SD",Region 8,SD,46093,South Dakota,Meade,8138.0,18760.0,3500:1,5.365,Rocky Mountains
Clark County,Geographic HPSA,14,Designated,2012-06-29,2021-09-10,0.0,3596.0,9.0,,Rural,"Clark County, SD",Region 8,SD,46025,South Dakota,Clark,0.0,3596.0,3500:1,1.03,Rocky Mountains
Mellette County,High Needs Geographic HPSA,16,Designated,1983-12-12,2021-09-10,0.0,1973.0,52.8,,Rural,"Mellette County, SD",Region 8,SD,46095,South Dakota,Mellette,0.0,1973.0,3000:1,0.66,Rocky Mountains
Hyde County,Geographic HPSA,8,Designated,1978-08-30,2021-07-28,0.0,1280.0,10.5,,Rural,"Hyde County, SD",Region 8,SD,46069,South Dakota,Hyde,0.0,1280.0,3500:1,0.37,Rocky Mountains
Kingsbury County,Geographic HPSA,15,Designated,1990-02-12,2021-09-10,0.0,4856.0,8.1,,Rural,"Kingsbury County, SD",Region 8,SD,46077,South Dakota,Kingsbury,0.0,4856.0,3500:1,1.39,Rocky Mountains
Hamlin County,Geographic HPSA,15,Proposed For Withdrawal,2012-06-29,2021-09-10,0.15,5794.0,6.4,38627:1,Rural,"Hamlin County, SD",Region 8,SD,46057,South Dakota,Hamlin,525.0,5269.0,3500:1,1.51,Rocky Mountains
Ziebach County,High Needs Geographic HPSA,21,Designated,2012-06-29,2021-08-17,0.5,2778.0,42.5,5556:1,Rural,"Ziebach County, SD",Region 8,SD,46137,South Dakota,Ziebach,1500.0,1278.0,3000:1,0.43,Rocky Mountains
Todd County,High Needs Geographic HPSA,22,Designated,1978-08-30,2021-07-02,0.0,10070.0,55.4,,Rural,"Todd County, SD",Region 8,SD,46121,South Dakota,Todd,0.0,10070.0,3000:1,3.36,Rocky Mountains
