Year,Quarter,Facility ID,Facility Name,City,State,ZIP Code,County Name,Measure Name,Measure ID,Score,County,Common State County FIPS Code,Latitude,Longitude,Hospital Ownership,County HPSA Status,Designation Type,HPSA Score,HPSA FTE,HPSA Designation Population,% of Population Below 100% Poverty,HPSA Formal Ratio,Rural Status,HPSA Provider Ratio Goal,HPSA Shortage
2016,Q4,10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,Alabama,36301,HOUSTON,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.0,Houston County,01069,31.14,-85.4,Government - Hospital District or Authority,Non-Shortage Area,,,,,,,,,
2016,Q4,10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,Alabama,35957,MARSHALL,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,Marshall County,01095,34.2,-86.15,Government - Hospital District or Authority,Shortage Area,High Needs Geographic HPSA,10.0,31.48,95375.0,20.5,3030:1,Rural,3000:1,0.31
2016,Q4,10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,Alabama,35631,LAUDERDALE,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,Lauderdale County,01077,34.82,-87.66,Government - Hospital District or Authority,Non-Shortage Area,,,,,,,,,
2016,Q4,10007,MIZELL MEMORIAL HOSPITAL,OPP,Alabama,36467,COVINGTON,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.09,Covington County,01039,31.29,-86.25,Voluntary non-profit - Private,Non-Shortage Area,,,,,,,,,
2016,Q4,10008,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,Alabama,36049,CRENSHAW,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.05,Crenshaw County,01041,31.7,-86.26,Proprietary,Shortage Area,Geographic HPSA,16.0,1.65,13623.0,15.1,8256:1,Rural,3500:1,2.24
2016,Q4,10011,ST VINCENT'S EAST,BIRMINGHAM,Alabama,35235,JEFFERSON,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,Jefferson County,01073,33.62,-86.65,Voluntary non-profit - Private,Non-Shortage Area,,,,,,,,,
2016,Q4,10012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,Alabama,35968,DE KALB,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.0,DeKalb County,01049,34.55,-85.74,Proprietary,Shortage Area,High Needs Geographic HPSA,14.0,16.15,70355.0,21.0,4356:1,Rural,3000:1,7.3
2016,Q4,10016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,Alabama,35007,SHELBY,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.04,Shelby County,01117,33.22,-86.82,Voluntary non-profit - Private,Non-Shortage Area,,,,,,,,,
2016,Q4,10019,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,Alabama,35660,COLBERT,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.04,Colbert County,01033,34.75,-87.7,Government - Hospital District or Authority,Non-Shortage Area,,,,,,,,,
2016,Q4,10021,DALE MEDICAL CENTER,OZARK,Alabama,36360,DALE,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.0,Dale County,01045,31.43,-85.64,Government - Hospital District or Authority,Shortage Area,High Needs Geographic HPSA,15.0,8.56,48674.0,18.7,5686:1,Rural,3000:1,7.66
2016,Q4,10022,CHEROKEE MEDICAL CENTER,CENTRE,Alabama,35960,CHEROKEE,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,Cherokee County,01019,34.15,-85.67,Voluntary non-profit - Private,Shortage Area,Geographic HPSA,11.0,4.05,25571.0,13.9,6314:1,Rural,3500:1,3.26
2016,Q4,10023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,Alabama,36116,MONTGOMERY,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,Montgomery County,01101,32.27,-86.21,Government - Hospital District or Authority,Non-Shortage Area,,,,,,,,,
2016,Q4,10024,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,Alabama,36106,MONTGOMERY,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,Montgomery County,01101,32.35,-86.28,Voluntary non-profit - Private,Non-Shortage Area,,,,,,,,,
2016,Q4,10029,EAST ALABAMA MEDICAL CENTER,OPELIKA,Alabama,36801,LEE,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,Lee County,01081,32.65,-85.37,Government - Hospital District or Authority,Non-Shortage Area,,,,,,,,,
2016,Q4,10032,WEDOWEE HOSPITAL,WEDOWEE,Alabama,36278,RANDOLPH,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.92,Randolph County,01111,33.3,-85.48,Government - Hospital District or Authority,Shortage Area,Geographic HPSA,13.0,3.8,22139.0,16.9,5826:1,Rural,3500:1,2.53
2016,Q4,10033,UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,Alabama,35233,JEFFERSON,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,Jefferson County,01073,33.52,-86.79,Government - State,Non-Shortage Area,,,,,,,,,
2016,Q4,10034,COMMUNITY HOSPITAL INC,TALLASSEE,Alabama,36078,ELMORE,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.94,Elmore County,01051,32.53,-85.89,Voluntary non-profit - Private,Shortage Area,Geographic HPSA,17.0,7.15,76637.0,11.5,10718:1,Partially Rural,3500:1,14.75
2016,Q4,10035,CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,Alabama,35058,CULLMAN,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,Cullman County,01043,34.23,-86.74,Government - Hospital District or Authority,Non-Shortage Area,,,,,,,,,
2016,Q4,10036,ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,Alabama,36420,COVINGTON,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.94,Covington County,01039,31.3,-86.48,Proprietary,Non-Shortage Area,,,,,,,,,
2016,Q4,10038,STRINGFELLOW MEMORIAL HOSPITAL,ANNISTON,Alabama,36201,CALHOUN,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,Calhoun County,01015,33.65,-85.88,Proprietary,Non-Shortage Area,,,,,,,,,
2016,Q4,10039,HUNTSVILLE HOSPITAL,HUNTSVILLE,Alabama,35801,MADISON,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,Madison County,01089,34.73,-86.56,Government - Hospital District or Authority,Non-Shortage Area,,,,,,,,,
2016,Q4,10040,GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,Alabama,35903,ETOWAH,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,Etowah County,01055,34.02,-85.86,Proprietary,Non-Shortage Area,,,,,,,,,
2016,Q4,10044,MARION REGIONAL MEDICAL CENTER,HAMILTON,Alabama,35570,MARION,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,Marion County,01093,34.14,-87.98,Voluntary non-profit - Private,Non-Shortage Area,,,,,,,,,
2016,Q4,10045,FAYETTE MEDICAL CENTER,FAYETTE,Alabama,35555,FAYETTE,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.94,Fayette County,01057,33.69,-87.83,Voluntary non-profit - Other,Shortage Area,Geographic HPSA,12.0,4.55,16182.0,19.4,3556:1,Rural,3500:1,0.07
2016,Q4,10046,RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,Alabama,35901,ETOWAH,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,Etowah County,01055,34.01,-86.01,Proprietary,Non-Shortage Area,,,,,,,,,
2016,Q4,10047,GEORGIANA MEDICAL CENTER,GEORGIANA,Alabama,36033,BUTLER,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,Butler County,01013,31.63,-86.74,Proprietary,Shortage Area,High Needs Geographic HPSA,13.0,6.15,19540.0,22.5,3177:1,Rural,3000:1,0.36
2016,Q4,10049,MEDICAL CENTER ENTERPRISE,ENTERPRISE,Alabama,36330,COFFEE,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,Coffee County,01031,31.32,-85.84,Proprietary,Non-Shortage Area,,,,,,,,,
2016,Q4,10051,GREENE COUNTY HOSPITAL,EUTAW,Alabama,35462,GREENE,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.93,Greene County,01063,32.84,-87.89,Government - Local,Shortage Area,High Needs Geographic HPSA,19.0,1.9,8242.0,38.1,4338:1,Rural,3000:1,0.85
2016,Q4,10052,LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,Alabama,36853,TALLAPOOSA,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.91,Tallapoosa County,01123,32.83,-85.76,Proprietary,Non-Shortage Area,,,,,,,,,
2016,Q4,10055,FLOWERS HOSPITAL,DOTHAN,Alabama,36305,HOUSTON,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,Houston County,01069,31.2,-85.5,Proprietary,Non-Shortage Area,,,,,,,,,
2016,Q4,10056,ST VINCENT'S BIRMINGHAM,BIRMINGHAM,Alabama,35205,JEFFERSON,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.05,Jefferson County,01073,33.49,-86.81,Voluntary non-profit - Private,Non-Shortage Area,,,,,,,,,
2016,Q4,10058,BIBB MEDICAL CENTER,CENTREVILLE,Alabama,35042,BIBB,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.05,Bibb County,01007,32.95,-87.13,Government - Hospital District or Authority,Shortage Area,Geographic HPSA,10.0,5.15,20632.0,18.1,4006:1,Rural,3500:1,0.74
2016,Q4,10059,LAWRENCE MEDICAL CENTER,MOULTON,Alabama,35650,LAWRENCE,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.88,Lawrence County,01079,34.48,-87.28,Government - Hospital District or Authority,Shortage Area,Geographic HPSA,15.0,4.63,33096.0,18.2,7148:1,Partially Rural,3500:1,4.83
2016,Q4,10061,HIGHLANDS MEDICAL CENTER,SCOTTSBORO,Alabama,35768,JACKSON,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,Jackson County,01071,34.77,-86.1,Government - Hospital District or Authority,Non-Shortage Area,,,,,,,,,
2016,Q4,10062,WIREGRASS MEDICAL CENTER,GENEVA,Alabama,36340,GENEVA,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,Geneva County,01061,31.03,-85.87,Voluntary non-profit - Private,Shortage Area,High Needs Geographic HPSA,10.0,5.3,26092.0,22.0,4923:1,Partially Rural,3000:1,3.4
2016,Q4,10065,RUSSELL HOSPITAL,ALEXANDER CITY,Alabama,35010,TALLAPOOSA,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,Tallapoosa County,01123,32.92,-85.93,Voluntary non-profit - Private,Non-Shortage Area,,,,,,,,,
2016,Q4,10069,MEDICAL CENTER BARBOUR,EUFAULA,Alabama,36027,BARBOUR,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.0,Barbour County,01005,31.9,-85.15,Government - Hospital District or Authority,Shortage Area,High Needs Geographic HPSA,20.0,4.225,22417.0,30.6,5306:1,Rural,3000:1,3.245
2016,Q4,10073,CLAY COUNTY HOSPITAL,ASHLAND,Alabama,36251,CLAY,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,Clay County,01027,33.27,-85.83,Government - Hospital District or Authority,Shortage Area,Geographic HPSA,12.0,3.98,14490.0,16.7,3641:1,Rural,3500:1,0.16
2016,Q4,10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,ANNISTON,Alabama,36207,CALHOUN,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.0,Calhoun County,01015,33.66,-85.81,Government - Local,Non-Shortage Area,,,,,,,,,
2016,Q4,10079,ATHENS LIMESTONE HOSPITAL,ATHENS,Alabama,35611,LIMESTONE,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.92,Limestone County,01083,34.78,-86.95,Government - Hospital District or Authority,Shortage Area,Geographic HPSA,15.0,15.26,87161.0,14.1,5712:1,Partially Rural,3500:1,9.64
2016,Q4,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,FOLEY,Alabama,36535,BALDWIN,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,Baldwin County,01003,30.4,-87.68,Proprietary,Non-Shortage Area,,,,,,,,,
2016,Q4,10085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,DECATUR,Alabama,35601,MORGAN,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,Morgan County,01103,34.57,-86.98,Government - Hospital District or Authority,Non-Shortage Area,,,,,,,,,
2016,Q4,10086,NORTHWEST MEDICAL CENTER,WINFIELD,Alabama,35594,MARION,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.0,Marion County,01093,33.92,-87.79,Proprietary,Non-Shortage Area,,,,,,,,,
2016,Q4,10087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,MOBILE,Alabama,36617,MOBILE,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,Mobile County,01097,30.72,-88.1,Government - State,Non-Shortage Area,,,,,,,,,
2016,Q4,10089,WALKER BAPTIST MEDICAL CENTER,JASPER,Alabama,35502,WALKER,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,Walker County,01127,33.85,-87.27,Voluntary non-profit - Private,Non-Shortage Area,,,,,,,,,
2016,Q4,10090,PROVIDENCE HOSPITAL,MOBILE,Alabama,36608,MOBILE,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,Mobile County,01097,30.68,-88.3,Voluntary non-profit - Church,Non-Shortage Area,,,,,,,,,
2016,Q4,10091,GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,Alabama,36451,CLARKE,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,Clarke County,01025,31.7,-87.77,Government - Hospital District or Authority,Shortage Area,High Needs Geographic HPSA,13.0,7.75,23628.0,23.2,3049:1,Rural,3000:1,0.13
2016,Q4,10092,D C H REGIONAL MEDICAL CENTER,TUSCALOOSA,Alabama,35401,TUSCALOOSA,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,Tuscaloosa County,01125,33.17,-87.62,Government - Hospital District or Authority,Non-Shortage Area,,,,,,,,,
2016,Q4,10095,HALE COUNTY HOSPITAL,GREENSBORO,Alabama,36744,HALE,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,Hale County,01065,32.7,-87.59,Government - Local,Shortage Area,High Needs Geographic HPSA,21.0,1.3,14565.0,24.1,11204:1,Rural,3000:1,3.56
2016,Q4,10097,ELMORE COMMUNITY HOSPITAL,WETUMPKA,Alabama,36092,ELMORE,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,Elmore County,01051,32.54,-86.2,Government - State,Shortage Area,Geographic HPSA,17.0,7.15,76637.0,11.5,10718:1,Partially Rural,3500:1,14.75
2016,Q4,10099,D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,Alabama,36426,ESCAMBIA,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,Escambia County,01053,31.11,-87.07,Government - Hospital District or Authority,Shortage Area,High Needs Geographic HPSA,11.0,11.125,34089.0,22.1,3064:1,Rural,3000:1,0.235
2016,Q4,10100,THOMAS HOSPITAL,FAIRHOPE,Alabama,36532,BALDWIN,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,Baldwin County,01003,30.51,-87.88,Government - Hospital District or Authority,Non-Shortage Area,,,,,,,,,
2016,Q4,10101,CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,Alabama,35161,TALLADEGA,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.0,Talladega County,01121,33.43,-86.09,Voluntary non-profit - Private,Shortage Area,High Needs Geographic HPSA,13.0,22.17,84289.0,20.7,3802:1,Rural,3000:1,5.93
2016,Q4,10102,J PAUL JONES HOSPITAL,CAMDEN,Alabama,36726,WILCOX,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,Wilcox County,01131,31.99,-87.29,Voluntary non-profit - Other,Shortage Area,High Needs Geographic HPSA,21.0,1.6,10352.0,30.0,6470:1,Rural,3000:1,1.85
2016,Q4,10103,PRINCETON BAPTIST MEDICAL CENTER,BIRMINGHAM,Alabama,35211,JEFFERSON,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,Jefferson County,01073,33.46,-86.86,Voluntary non-profit - Church,Non-Shortage Area,,,,,,,,,
2016,Q4,10104,GRANDVIEW MEDICAL CENTER,BIRMINGHAM,Alabama,35243,JEFFERSON,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,Jefferson County,01073,33.44,-86.74,Proprietary,Non-Shortage Area,,,,,,,,,
2016,Q4,10108,PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,Alabama,36067,AUTAUGA,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.94,Autauga County,01001,32.51,-86.56,Government - Hospital District or Authority,Shortage Area,Geographic HPSA,15.0,9.25,54922.0,15.1,5938:1,Non-Rural,3500:1,6.44
2016,Q4,10109,PICKENS COUNTY MEDICAL CENTER,CARROLLTON,Alabama,35447,PICKENS,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.84,Pickens County,01107,33.26,-88.09,Government - Hospital District or Authority,Shortage Area,High Needs Geographic HPSA,16.0,3.95,18506.0,22.7,4685:1,Rural,3000:1,2.22
