,0
36301,Houston County
35957,Marshall County
35631,Lauderdale County
36467,Covington County
36049,Crenshaw County
35235,Jefferson County
35968,DeKalb County
35007,Shelby County
35233,Jefferson County
35660,Colbert County
36360,Dale County
35960,Cherokee County
36116,Montgomery County
36106,Montgomery County
36801,Lee County
36278,Randolph County
36078,Elmore County
35058,Cullman County
36420,Covington County
36201,Calhoun County
35801,Madison County
35903,Etowah County
35570,Marion County
35555,Fayette County
35901,Etowah County
36033,Butler County
36330,Coffee County
35462,Greene County
36853,Tallapoosa County
36305,Houston County
35205,Jefferson County
35042,Bibb County
35650,Lawrence County
35768,Jackson County
36340,Geneva County
35010,Tallapoosa County
36027,Barbour County
36251,Clay County
36207,Calhoun County
35611,Limestone County
36535,Baldwin County
35601,Morgan County
35594,Marion County
36617,Mobile County
35502,Walker County
36608,Mobile County
36451,Clarke County
35401,Tuscaloosa County
36744,Hale County
36092,Elmore County
36426,Escambia County
36532,Baldwin County
35161,Talladega County
36726,Wilcox County
35211,Jefferson County
35243,Jefferson County
36067,Autauga County
35447,Pickens County
36089,Bullock County
36732,Marengo County
36652,Mobile County
35021,Jefferson County
36701,Dallas County
36460,Monroe County
35565,Winston County
36081,Pike County
36545,Clarke County
36507,Baldwin County
35125,St. Clair County
36925,Sumter County
35209,Jefferson County
36265,Calhoun County
36401,Conecuh County
36117,Montgomery County
36037,Butler County
35661,Colbert County
35653,Franklin County
35150,Talladega County
36867,Russell County
36502,Escambia County
36518,Washington County
35582,Franklin County
36904,Choctaw County
35121,Blount County
36604,Mobile County
70503,Lafayette Parish
70563,Iberia Parish
70301,Lafourche Parish
70112,Orleans Parish
70506,Lafayette Parish
71457,Natchitoches Parish
70360,Terrebonne Parish
71202,Ouachita Parish
70663,Calcasieu Parish
70380,St. Mary Parish
70403,Tangipahoa Parish
70570,St. Landry Parish
71301,Rapides Parish
70791,East Baton Rouge Parish
70554,Evangeline Parish
70601,Calcasieu Parish
70510,Vermilion Parish
70121,Jefferson Parish
70072,Jefferson Parish
70458,St. Tammany Parish
71105,Caddo Parish
70526,Acadia Parish
70433,St. Tammany Parish
70115,Orleans Parish
70634,Beauregard Parish
70546,Jefferson Davis Parish
70562,Iberia Parish
70808,East Baton Rouge Parish
70806,East Baton Rouge Parish
70070,St. Charles Parish
71263,West Carroll Parish
71270,Lincoln Parish
71075,Webster Parish
71483,Winn Parish
71103,Caddo Parish
71351,Avoyelles Parish
70508,Lafayette Parish
71463,Allen Parish
71040,Claiborne Parish
71220,Morehouse Parish
71052,De Soto Parish
71201,Ouachita Parish
70817,East Baton Rouge Parish
70648,Allen Parish
71295,Franklin Parish
71055,Webster Parish
71342,La Salle Parish
70006,Jefferson Parish
71269,Richland Parish
71291,Ouachita Parish
71446,Vernon Parish
70586,Evangeline Parish
70363,Terrebonne Parish
71418,Caldwell Parish
70748,East Feliciana Parish
70605,Calcasieu Parish
70816,East Baton Rouge Parish
70461,St. Tammany Parish
71254,East Carroll Parish
71449,Sabine Parish
71111,Bossier Parish
70737,Ascension Parish
70445,St. Tammany Parish
70810,East Baton Rouge Parish
70065,Jefferson Parish
71101,Caddo Parish
70130,Orleans Parish
70002,Jefferson Parish
70631,Cameron Parish
70043,St. Bernard Parish
70427,Washington Parish
70127,Orleans Parish
70441,St. Helena Parish
71241,Union Parish
70517,St. Martin Parish
70390,Assumption Parish
71082,Caddo Parish
70071,St. James Parish
70775,West Feliciana Parish
70633,Calcasieu Parish
70346,Ascension Parish
70422,Tangipahoa Parish
70538,St. Mary Parish
71322,Avoyelles Parish
71019,Red River Parish
70438,Washington Parish
71282,Madison Parish
71465,La Salle Parish
70760,Pointe Coupee Parish
71251,Jackson Parish
71334,Concordia Parish
70525,Acadia Parish
71001,Bienville Parish
70443,Tangipahoa Parish
70548,Vermilion Parish
71232,Richland Parish
70394,Lafourche Parish
70345,Lafourche Parish
71222,Union Parish
70118,Orleans Parish
39216,Hinds County
38852,Tishomingo County
38801,Lee County
38652,Union County
39530,Harrison County
38834,Alcorn County
38635,Marshall County
38851,Chickasaw County
39422,Jasper County
39502,Harrison County
39744,Webster County
38821,Monroe County
39339,Winston County
39183,Warren County
38655,Lafayette County
39452,George County
39046,Madison County
39581,Jackson County
38614,Coahoma County
39350,Neshoba County
38829,Prentiss County
39652,Pike County
39759,Oktibbeha County
39601,Lincoln County
39440,Jones County
39069,Jefferson County
38965,Yalobusha County
39773,Clay County
39301,Lauderdale County
39204,Hinds County
39367,Wayne County
39404,Forrest County
39159,Sharkey County
38704,Issaquena County
39120,Adams County
39429,Marion County
38732,Bolivar County
39402,Lamar County
38751,Sunflower County
39042,Rankin County
39649,Pike County
38930,Leflore County
39701,Lowndes County
39202,Hinds County
39466,Pearl River County
39503,Harrison County
39111,Simpson County
38668,Tate County
38606,Panola County
39193,Rankin County
39232,Rankin County
38671,DeSoto County
39521,Hancock County
39153,Smith County
38654,DeSoto County
38901,Grenada County
39074,Scott County
39730,Monroe County
39577,Stone County
38921,Tallahatchie County
39654,Lawrence County
39476,Perry County
39341,Noxubee County
38863,Pontotoc County
39631,Wilkinson County
38967,Montgomery County
39194,Yazoo County
38646,Quitman County
39051,Leake County
39355,Clarke County
39114,Simpson County
38771,Sunflower County
39095,Holmes County
39150,Claiborne County
39365,Neshoba County
39117,Scott County
39667,Walthall County
39428,Covington County
39474,Jefferson Davis County
39083,Copiah County
39451,Greene County
39653,Franklin County
38916,Calhoun County
39345,Newton County
39470,Pearl River County
39735,Choctaw County
39328,Kemper County
39090,Attala County
38663,Tippah County
35045,Chilton County
38935,Leflore County
39520,Hancock County
35630,Lauderdale County
35212,Jefferson County
35902,Etowah County
36693,Mobile County
35055,Cullman County
36526,Baldwin County
35806,Madison County
70448,St. Tammany Parish
71106,Caddo Parish
71303,Rapides Parish
71361,Rapides Parish
70123,Jefferson Parish
70507,Lafayette Parish
70518,Lafayette Parish
70128,Orleans Parish
70815,East Baton Rouge Parish
71203,Ouachita Parish
70607,Calcasieu Parish
70444,Tangipahoa Parish
70131,Orleans Parish
70809,East Baton Rouge Parish
70364,Terrebonne Parish
70068,St. John the Baptist Parish
39475,Lamar County
38804,Lee County
71459,Vernon Parish
36784,Clarke County
36854,Chambers County
70535,St. Landry Parish
70807,East Baton Rouge Parish
70056,Jefferson Parish
39705,Lowndes County
39531,Harrison County
36607,Mobile County
36109,Montgomery County
35404,Tuscaloosa County
71360,Rapides Parish
70119,Orleans Parish
